Code,Description,Category,CreatedAt
NT079,5GHz 11N 20MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT080,5GHz 11N 40MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT081,5GHz 11AC 80MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT082,2.4GHz 11AC 40MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT083,2.4GHz 11AC 40MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT084,2.4GHz 11AC 40MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT085,2.4GHz 11AC 40MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT086,2.4GHz 11AC 40MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT087,2.4GHz 11AC 40MHz TX PER Test Fail,RF Test Function Issue,2026-04-29
NT088,2.4GHz DC Leakage Fail,RF Test Function Issue,2026-04-29
NT089,5GHz DC Leakage Fail,RF Test Function Issue,2026-04-29
NT090,5G Power Capture Fail,RF Test Function Issue,2026-04-29
NT091,2.4G Power Capture Fail,RF Test Function Issue,2026-04-29
NT092,11B Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT093,11G Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT094,11A Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT095,2.4GHz 11N 20MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT096,2.4GHz 11N 40MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT097,5GHz 11N 20MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT098,5GHz 11N 40MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT099,5GHz 11AC 80MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT100,5GHz 11AC 20MHz Implicit Beamforming Calibration Fail,Unknown,2026-04-29
NT101,5GHz 11AC 20MHz Implicit Beamforming Verify Fail,Unknown,2026-04-29
NT102,2.4GHz 11AC 20MHz TX Power Verify Fail,Unknown,2026-04-29
NT103,2.4GHz 11AC 20MHz TX EVM Test Fail,Unknown,2026-04-29
NT104,2.4GHz 11AC 20MHz Frequency Accuracy Fail,Unknown,2026-04-29
NT105,2.4GHz 11AC 20MHz Spectral Mask Test Fail,Unknown,2026-04-29
NT106,2.4GHz 11AC 20MHz RX PER Test Fail,Unknown,2026-04-29
NT107,2.4GHz 11AC 20MHz TX PER Test Fail,Unknown,2026-04-29
NT108,5GHz 11AC 80MHz RX Gain Test Fail,Unknown,2026-04-29
NT109,2.4GHz RX RSSI Test Fail,Unknown,2026-04-29
NT110,5GHz RX RSSI Test Fail,Unknown,2026-04-29
NT111,2.4GHz Implicit Beamforming Verify Fail,RF Test Function Issue,2026-04-29
NT112,2.4GHz RX Calibration Fail,RF Test Function Issue,2026-04-29
NT113,5GHz RX Calibration Fail,RF Test Function Issue,2026-04-29
NT114,5GHz 11AC 40MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT115,5GHz 11AC 40MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT116,5GHz 11AC 40MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT117,5GHz 11AC 40MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT118,5GHz 11AC 20MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT119,5GHz 11AC 20MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT120,5GHz 11AC 20MHz Frequency Accuracy Fail,Unknown,2026-04-29
NT121,5GHz 11AC 20MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT122,Check PA Parameter Fail,RF Test Function Issue,2026-04-29
NT123,5GHz 11AC 20MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT124,5GHz Implicit Beamforming Verify Fail,RF Test Function Issue,2026-04-29
NT125,5GHz 11AC 40MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT126,2.4GHz 11AC 80MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT127,2.4GHz 11AC 80MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT128,2.4GHz 11AC 80MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT129,2.4GHz 11AC 80MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT130,2.4GHz 11AC 80MHz RX PER Test Fail,Unknown,2026-04-29
NT131,2.4GHz Implicit Beamforming Calibration Fail,RF Test Function Issue,2026-04-29
NT132,5GHz Implicit Beamforming Calibration Fail,RF Test Function Issue,2026-04-29
NT133,Send Command to DUT Fail,RF Test Function Issue,2026-04-29
NT134,5.8G PER Power Fail,RF Test Function Issue,2026-04-29
NT135,5.2G PER Power Fail,RF Test Function Issue,2026-04-29
NT136,5.8G Sync Test Fail,RF Test Function Issue,2026-04-29
NT137,5.2G Sync Test Fail,RF Test Function Issue,2026-04-29
NT138,5.8G CCH Test Fail,RF Test Function Issue,2026-04-29
NT139,5.2G CCH Test Fail,RF Test Function Issue,2026-04-29
NT140,5.8G RF Power Fail,Unknown,2026-04-29
NT141,5.2G RF Power Fail,RF Test Function Issue,2026-04-29
NT142,5.8G PER(GT/DR) Fail,RF Test Function Issue,2026-04-29
NT143,5.2G PER(GT/DR) Fail,RF Test Function Issue,2026-04-29
NT144,5GHz 11AX 20MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT145,5GHz 11AX 20MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT146,5GHz 11AX 20MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT147,5GHz 11AX 20MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT148,5GHz 11AX 20MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT149,5GHz 11AX 40MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT150,5GHz 11AX 40MHz TX EVM Test Fail,Unknown,2026-04-29
NT151,5GHz 11AX 40MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT152,5GHz 11AX 40MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT153,5GHz 11AX 40MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT154,5GHz 11AX 80MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT155,5GHz 11AX 80MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT156,5GHz 11AX 80MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT157,5GHz 11AX 80MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT158,5GHz 11AX 80MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT159,5GHz 11AX 160MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT160,5GHz 11AX 160MHz TX EVM Test Fail,Unknown,2026-04-29
NT161,5GHz 11AX 160MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT162,5GHz 11AX 160MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT163,5GHz 11AX 160MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT164,2.4GHz 11AX 20MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT165,2.4GHz 11AX 20MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT166,2.4GHz 11AX 20MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT167,2.4GHz 11AX 20MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT168,2.4GHz 11AX 20MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT169,2.4GHz 11AX 40MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT170,2.4GHz 11AX 40MHz TX EVM Test Fail,Unknown,2026-04-29
NT171,2.4GHz 11AX 40MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT172,2.4GHz 11AX 40MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT173,2.4GHz 11AX 40MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT174,TX DPD Calibration Fail,RF Test Function Issue,2026-04-29
NT175,RXSELFTEST Fail,RF Test Function Issue,2026-04-29
NT176,TX RX PRE CAL Fail,RF Test Function Issue,2026-04-29
NT177,Run DUT Command Fail,RF Test Function Issue,2026-04-29
NT178,ZWDFS Verify Fail,RF Test Function Issue,2026-04-29
NT179,6GHz Power Calibration Fail,RF Test Function Issue,2026-04-29
NT180,6GHz Implicit Beamforming Calibration Fail,Unknown,2026-04-29
NT181,6GHz Implicit Beamforming Verify Fail,RF Test Function Issue,2026-04-29
NT182,6GHz RX Calibration Fail,RF Test Function Issue,2026-04-29
NT183,6GHz 11AX 20MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT184,6GHz 11AX 20MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT185,6GHz 11AX 20MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT186,6GHz 11AX 20MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT187,6GHz 11AX 20MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT188,6GHz 11AX 20MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT189,6GHz 11AX 40MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT190,6GHz 11AX 40MHz TX EVM Test Fail,Unknown,2026-04-29
NT191,6GHz 11AX 40MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT192,6GHz 11AX 40MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT193,6GHz 11AX 40MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT194,6GHz 11AX 40MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT195,6GHz 11AX 80MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT196,6GHz 11AX 80MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT197,6GHz 11AX 80MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT198,6GHz 11AX 80MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT199,6GHz 11AX 80MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT200,6GHz 11AX 80MHz RX PER Test Fail,Unknown,2026-04-29
NT201,6GHz 11AX 160MHz TX Power Verify Fail,Unknown,2026-04-29
NT202,6GHz 11AX 160MHz TX EVM Test Fail,Unknown,2026-04-29
NT203,6GHz 11AX 160MHz Frequency Accuracy Fail,Unknown,2026-04-29
NT204,6GHz 11AX 160MHz Symbol Clock Error Fail,Unknown,2026-04-29
NT205,6GHz 11AX 160MHz Spectral Mask Test Fail,Unknown,2026-04-29
NT206,6GHz 11AX 160MHz RX PER Test Fail,Unknown,2026-04-29
NT207,6GHz TX Throughput Test Fail,Unknown,2026-04-29
NT208,6GHz RX Throughput Test Fail,Unknown,2026-04-29
NT209,6GHz RX RSSI Test Fail,Unknown,2026-04-29
NT210,AVS Vcore Test Fail,Unknown,2026-04-29
NT211,2.4GHz Ant1 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT212,2.4GHz Ant2 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT213,2.4GHz Ant3 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT214,2.4GHz Ant4 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT215,5GHz Ant1 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT216,5GHz Ant2 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT217,5GHz Ant3 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT218,5GHz Ant4 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT219,6GHz Ant1 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT220,6GHz Ant2 RSSI Test Fail,Unknown,2026-04-29
NT221,6GHz Ant3 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT222,6GHz Ant4 RSSI Test Fail,RF Test Function Issue,2026-04-29
NT223,6GHz 11BE 20MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT224,6GHz 11BE 20MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT225,6GHz 11BE 20MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT226,6GHz 11BE 20MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT227,6GHz 11BE 20MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT228,6GHz 11BE 20MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT229,6GHz 11BE 40MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT230,6GHz 11BE 40MHz TX EVM Test Fail,Unknown,2026-04-29
NT231,6GHz 11BE 40MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT232,6GHz 11BE 40MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT233,6GHz 11BE 40MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT234,6GHz 11BE 40MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT235,6GHz 11BE 80MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT236,6GHz 11BE 80MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT237,6GHz 11BE 80MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT238,6GHz 11BE 80MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT239,6GHz 11BE 80MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT240,6GHz 11BE 80MHz RX PER Test Fail,Unknown,2026-04-29
NT241,6GHz 11BE 160MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT242,6GHz 11BE 160MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT243,6GHz 11BE 160MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT244,6GHz 11BE 160MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT245,6GHz 11BE 160MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT246,6GHz 11BE 160MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT247,6GHz 11BE 320MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT248,6GHz 11BE 320MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT249,6GHz 11BE 320MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT250,6GHz 11BE 320MHz Symbol Clock Error Fail,Unknown,2026-04-29
NT251,6GHz 11BE 320MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT252,6GHz 11BE 320MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT253,2.4GHz 11BE 20MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT254,2.4GHz 11BE 20MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT255,2.4GHz 11BE 20MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT256,2.4GHz 11BE 20MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT257,2.4GHz 11BE 20MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT258,2.4GHz 11BE 20MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT259,2.4GHz 11BE 40MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT260,2.4GHz 11BE 40MHz TX EVM Test Fail,Unknown,2026-04-29
NT261,2.4GHz 11BE 40MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT262,2.4GHz 11BE 40MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT263,2.4GHz 11BE 40MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT264,2.4GHz 11BE 40MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT265,5GHz 11BE 20MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT266,5GHz 11BE 20MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT267,5GHz 11BE 20MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT268,5GHz 11BE 20MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT269,5GHz 11BE 20MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT270,5GHz 11BE 20MHz RX PER Test Fail,Unknown,2026-04-29
NT271,5GHz 11BE 40MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT272,5GHz 11BE 40MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT273,5GHz 11BE 40MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT274,5GHz 11BE 40MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT275,5GHz 11BE 40MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT276,5GHz 11BE 40MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT277,5GHz 11BE 80MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT278,5GHz 11BE 80MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT279,5GHz 11BE 80MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT280,5GHz 11BE 80MHz Symbol Clock Error Fail,Unknown,2026-04-29
NT281,5GHz 11BE 80MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT282,5GHz 11BE 80MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT283,5GHz 11BE 160MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT284,5GHz 11BE 160MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT285,5GHz 11BE 160MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT286,5GHz 11BE 160MHz Symbol Clock Error Fail,RF Test Function Issue,2026-04-29
NT287,5GHz 11BE 160MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT288,5GHz 11BE 160MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT289,6GHz 11A TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT290,6GHz 11A TX EVM Test Fail,Unknown,2026-04-29
NT291,6GHz 11A Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT292,6GHz 11A RX FER Test Fail,RF Test Function Issue,2026-04-29
NT293,6GHz 11A Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NE001,Program EEPROM Fail,EEPROM Issue,2026-04-29
NE002,Get Value From EEPROM Fail,EEPROM Issue,2026-04-29
NC001,Check MAC Address Fail,Check Value in EEPROM Issue,2026-04-29
NC002,Check PNPID Fail,Check Value in EEPROM Issue,2026-04-29
NC003,Check Country Code Fail,Check Value in EEPROM Issue,2026-04-29
NC004,Check RF Type Fail,Check Value in EEPROM Issue,2026-04-29
NI001,,Instrument Issue,2026-04-29
NI002,,Instrument Issue,2026-04-29
NI003,,Instrument Issue,2026-04-29
NI004,,Instrument Issue,2026-04-29
NI005,,Instrument Issue,2026-04-29
NI006,,Instrument Issue,2026-04-29
NI007,,Instrument Issue,2026-04-29
NI008,,Instrument Issue,2026-04-29
NI009,,Instrument Issue,2026-04-29
NI010,,Instrument Issue,2026-04-29
NI011,,Instrument Issue,2026-04-29
NI012,,Instrument Issue,2026-04-29
NI013,,Instrument Issue,2026-04-29
NI014,,Instrument Issue,2026-04-29
NI015,,Instrument Issue,2026-04-29
NF001,E-FUSE Had Been Programmed,E-FUSE Issue,2026-04-29
NF002,Get Value From Map File Fail,E-FUSE Issue,2026-04-29
NF003,No free eFuse block,E-FUSE Issue,2026-04-29
NF004,E-FUSE Doesn't Have Enough Free Block,E-FUSE Issue,2026-04-29
NF005,E-FUSE Check Test Fail,E-FUSE Issue,2026-04-29
ND001,Sync Test Fail,DECT Test Function Issue,2026-04-29
ND002,NTP Test Fail,DECT Test Function Issue,2026-04-29
ND003,Mask Test Fail,DECT Test Function Issue,2026-04-29
ND004,B-Field Test Fail,DECT Test Function Issue,2026-04-29
ND005,Frequency Offset Test Fail,DECT Test Function Issue,2026-04-29
ND006,Frequency Drift Test Fail,DECT Test Function Issue,2026-04-29
ND007,Time Accuracy Test Fail,DECT Test Function Issue,2026-04-29
ND008,Jitter Test Fail,DECT Test Function Issue,2026-04-29
ND009,BER FER Test Fail,DECT Test Function Issue,2026-04-29
ND010,DECT Registion Button Test Fail,DECT Test Function Issue,2026-04-29
ND011,DECT Paging Button Test Fail,DECT Test Function Issue,2026-04-29
ND012,DECTPhone Test Fail,DECT Test Function Issue,2026-04-29
ND013     Set DECT PIN Fail,,DECT Test Function Issue,2026-04-29
ND014     DECT Normal Mode Fail,,DECT Test Function Issue,2026-04-29
ND015     DECT TBR6 Mode Fail,,DECT Test Function Issue,2026-04-29
BT001,BT/BDR Output Power Test Fail,Bluetooth Test Function Issue,2026-04-29
BT002,BT/BDR Power Control Test Fail,Bluetooth Test Function Issue,2026-04-29
BT003,BT/BDR Modulation Characteristics Test Fail,Bluetooth Test Function Issue,2026-04-29
BT004,BT/BDR Initial Carrier Frequency Tolerance Test,Bluetooth Test Function Issue,2026-04-29
BT005,BT/BDR Carrier Drift Test Fail,Bluetooth Test Function Issue,2026-04-29
BT006,BT/BDR Single Slot Sensitivity Test Fail,Bluetooth Test Function Issue,2026-04-29
BT007,BT/BDR Multi Slot Sensitivity Test Fail,Bluetooth Test Function Issue,2026-04-29
BT008,BT/BDR/EDR Maximum Input Level Test Fail,Bluetooth Test Function Issue,2026-04-29
BT009,BT/EDR Enter Test Mode Fail,Bluetooth Test Function Issue,2026-04-29
BT010,BT/EDR Download Firmware Fail,Bluetooth Test Function Issue,2026-04-29
BT011,BT/EDR Connect to Bluetooth adapter Fail,Bluetooth Test Function Issue,2026-04-29
